Rank,Ticker,Last_Price,Momentum_14d,Vol_Surge,Range_Pos_325,Radar_Score,Threshold,Distance_%,Z_Score,Prev_Close
118,SGOV,100.48,0.21,1.01,1.0,0.2089,0.3997,-47.74,-0.31,100.45
119,RUN,14.61,2.43,1.04,0.541,1.3657,2.617,-47.81,0.82,13.8
120,CORZ,22.92,3.05,0.86,0.8889,2.3332,4.5038,-48.2,0.5,22.36
121,HOG,25.42,1.47,0.83,0.6131,0.7517,1.4729,-48.96,0.97,23.64
122,VWO,60.54,1.63,1.06,0.9783,1.6881,3.3262,-49.25,0.66,60.21
123,BEN,31.05,3.32,0.4,0.9757,1.3067,2.5772,-49.3,0.69,30.52
124,BKR,63.89,4.92,0.87,0.8317,3.5708,7.1009,-49.71,0.71,63.53
125,AVGO,430.0,30.37,1.09,0.9745,32.2382,64.5057,-50.02,0.67,412.56
126,QYLD,18.13,0.44,0.54,1.0,0.2374,0.4849,-51.04,0.43,18.1
127,SMCI,35.37,6.56,1.29,0.3384,2.871,5.9409,-51.67,0.64,33.62
128,IIPR,57.29,4.11,0.72,0.7445,2.1967,4.5544,-51.77,0.44,56.59
129,VLO,241.06,14.78,0.92,0.8929,12.0934,25.4423,-52.47,0.68,236.35
130,BA,237.36,12.28,1.18,0.8646,12.5444,26.398,-52.48,0.85,231.03
131,AOR,68.84,1.22,0.81,0.9897,0.9738,2.0551,-52.61,0.48,68.39
132,DD,49.76,2.76,0.79,0.9115,1.9832,4.4347,-55.28,0.62,48.36
133,SCHD,31.62,0.59,1.08,0.9442,0.599,1.3722,-56.35,0.54,31.54
134,ALB,203.52,8.69,1.36,0.8986,10.5958,24.9554,-57.54,0.6,198.35
135,VRSN,288.21,12.4,0.97,0.8148,9.8291,23.3121,-57.84,0.57,278.47
136,BUD,79.89,4.84,0.61,0.9163,2.7029,6.5374,-58.66,0.51,80.25
137,AAL,13.35,1.11,0.98,0.5365,0.5843,1.4222,-58.91,0.45,13.18
138,MDB,299.47,35.36,1.17,0.5221,21.5593,52.55,-58.97,0.56,293.42
139,MO,68.12,3.51,0.77,0.7748,2.0888,5.2148,-59.94,0.47,69.04
140,EXPD,156.69,7.38,0.72,0.8454,4.4981,11.4704,-60.79,0.43,151.86
